name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college,PC1,ss_Player_idx,ss_Pos_idx,ss_Tm_idx,ss__c0_equal_width,ss_Age_equal_width,ss_G_equal_width,ss_GS_quantile,ss_MP_quantile,ss_PER_quantile,player_cluster
amal mccaskill,16284.0,Amal McCaskill,C,29.0,ATL,11.0,0.0,70.0,7.3,0.293,0.0,0.235,11.9,23.5,10.8,2.3,1.0,9.6,13.6,-0.1,0.1,-5.1,0.6,0.0,0.0,0.24879631551634632,0.75,7.0,5.0,3.0,1.0,2.0,Amal McCaskill,211.0,106.0,Marquette University,Maywood,Illinois,Amal McCaskill,F-C,6-11,"October 28, 1973",Marquette University,-16282.246361078582,1915.0,3.0,9.0,3.0,2.0,0.0,1.0,0.0,0.0,2
james johnson,20831.0,James Johnson,SF,23.0,CHI,13.0,0.0,123.0,8.8,0.449,0.22,0.317,5.9,16.7,18.1,3.5,5.6,27.8,24.2,-0.4,0.3,-6.3,5.1,0.0,2.0,0.222,0.462,6.0,14.0,8.0,9.0,18.0,James Johnson,206.0,113.0,Wake Forest University,Cheyenne,Wyoming,James Johnson,F,6-9,"February 20, 1987",Wake Forest University,-20828.33483066256,888.0,2.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0,1
al harrington,18965.0,Al Harrington,C,27.0,GSW,81.0,59.0,2190.0,15.6,0.547,0.442,0.206,5.0,16.9,8.9,1.6,0.5,8.2,21.1,3.7,1.7,1.6,-1.6,1.1,153.0,0.375,0.774,107.0,132.0,74.0,16.0,90.0,Al Harrington,206.0,104.0,Unknown,Orange,New Jersey,Al Harrington,F,6-9,"February 17, 1980",Unknown,-18939.339482481035,44.0,3.0,10.0,3.0,2.0,4.0,4.0,4.0,3.0,1
don otten,575.0,Don Otten,C,30.0,FTW,7.0,23.593374650359237,63.0,15.0,0.444,0.15860433144009717,0.8,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.1,0.1,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.875,62.18920998220897,5.0,39.89705245948935,24.470260133673126,73.93983201832528,Don Otten,208.0,108.0,Bowling Green State University,Bellefontaine,Ohio,Don Otten,C,6-10,"April 18, 1921",Bowling Green State University,-574.158751299256,708.0,3.0,42.0,0.0,3.0,0.0,3.0,0.0,3.0,0
danny green,23704.0,Danny Green,SG,28.0,SAS,79.0,79.0,2062.0,10.5,0.492,0.622,0.082,2.7,13.6,9.3,2.0,2.4,11.4,14.6,0.2,4.1,-0.2,3.0,2.5,116.0,0.332,0.739,48.0,141.0,79.0,64.0,75.0,Danny Green,206.0,100.0,"University of California, Los Angeles",Lynwood,California,Danny Green,G-F,6-6,"June 22, 1987",University of North Carolina,-23679.47249505694,1173.0,1.0,14.0,4.0,2.0,4.0,4.0,4.0,1.0,1
danny green,21873.0,Danny Green,SG,25.0,SAS,80.0,80.0,2201.0,14.1,0.6,0.623,0.119,2.0,10.3,9.5,2.1,1.8,11.9,16.6,2.6,3.2,2.0,1.3,2.9,177.0,0.429,0.848,36.0,141.0,92.0,54.0,94.0,Danny Green,206.0,100.0,"University of California, Los Angeles",Lynwood,California,Danny Green,G-F,6-6,"June 22, 1987",University of North Carolina,-21847.09072523573,1173.0,1.0,14.0,4.0,1.0,4.0,4.0,4.0,3.0,1
william cunningham,14065.0,William Cunningham,C,24.0,TOR,1.0,0.0,1.0,0.0,0.49300126334664623,0.15860433144009717,0.32545504587156027,0.0,0.0,0.0,0.0,0.0,15.085098559901962,0.0,0.0,0.0,-6.2,-1.3,0.0,0.0,0.24879631551634632,0.7192786333417487,0.0,0.0,0.0,0.0,0.0,William Cunningham,211.0,113.0,Temple University,Augusta,Georgia,William Cunningham,C,6-11,"March 25, 1974",Temple University,-14064.174766543436,1684.0,3.0,26.0,2.0,1.0,0.0,1.0,0.0,0.0,2
manny harris,24313.0,Manny Harris,SG,27.0,DAL,4.0,0.0,25.0,-2.2,0.239,0.133,0.267,13.3,29.3,12.7,0.0,0.0,10.7,35.4,-0.2,0.0,-15.1,-3.8,-0.1,0.0,0.0,0.5,3.0,2.0,0.0,0.0,2.0,Manny Harris,196.0,83.0,University of Michigan,Detroit,Michigan,Manny Harris,G,6-5,"September 21, 1989",University of Michigan,-24311.229152289416,2096.0,1.0,17.0,4.0,2.0,0.0,1.0,0.0,0.0,1
rod higgins,11078.0,Rod Higgins,SF,33.0,SAC,69.0,4.0,1425.0,12.5,0.52,0.275,0.313,5.0,10.3,11.8,1.7,1.3,10.3,17.5,1.5,1.0,-0.3,-0.6,0.4,43.0,0.323,0.861,66.0,119.0,51.0,29.0,63.0,Rod Higgins,201.0,90.0,"California State University, Fresno",Monroe,Louisiana,Rod Higgins,F,6-7,"January 31, 1960","California State University, Fresno",-11061.30318935016,168.0,2.0,22.0,2.0,3.0,4.0,1.0,3.0,2.0,3
rod higgins,7679.0,Rod Higgins,SF,25.0,CHI,68.0,5.0,942.0,10.2,0.497,0.137,0.333,6.9,11.0,10.4,1.1,0.8,13.7,15.9,0.4,0.5,-1.4,-0.9,-0.1,10.0,0.27,0.667,55.0,73.0,21.0,13.0,49.0,Rod Higgins,201.0,90.0,"California State University, Fresno",Monroe,Louisiana,Rod Higgins,F,6-7,"January 31, 1960","California State University, Fresno",-7667.9362544003025,168.0,2.0,8.0,1.0,1.0,3.0,1.0,2.0,1.0,3
