name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college
sean elliott,13560.0,Sean Elliott,SF,29.0,SAS,36.0,36.0,1012.0,9.5,0.495,0.297,0.257,1.9,11.6,10.0,1.3,1.0,14.5,18.3,-0.1,1.5,-2.2,0.7,0.1,34.0,0.378,0.718,16.0,62.0,24.0,14.0,57.0,Sean Elliott,203.0,92.0,University of Arizona,Tucson,Arizona,Sean Elliott,F,6-8,"February 2, 1968",University of Arizona
sean elliott,15112.0,Sean Elliott,SF,32.0,SAS,52.0,34.0,1229.0,12.4,0.544,0.381,0.248,1.6,13.4,10.8,1.0,1.4,11.9,16.3,1.3,1.7,0.0,0.8,0.9,55.0,0.426,0.714,17.0,81.0,23.0,25.0,51.0,Sean Elliott,203.0,92.0,University of Arizona,Tucson,Arizona,Sean Elliott,F,6-8,"February 2, 1968",University of Arizona
wayne stevens,1571.0,Wayne Stevens,F,23.0,CIN,8.0,23.593374650359237,49.0,6.1,0.278,0.15860433144009717,0.526,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.2,0.0,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.7,62.18920998220897,4.0,39.89705245948935,24.470260133673126,73.93983201832528,Wayne Stevens,190.0,83.0,University of Cincinnati,Unknown,Unknown,Wayne Stevens,F,6-3,"June 19, 1936",University of Cincinnati
sean elliott,14100.0,Sean Elliott,SF,30.0,SAS,50.0,50.0,1509.0,12.6,0.493,0.235,0.276,2.8,12.5,13.3,0.9,0.8,11.1,19.7,1.3,2.2,-0.5,0.5,0.7,39.0,0.328,0.757,35.0,117.0,26.0,17.0,71.0,Sean Elliott,203.0,92.0,University of Arizona,Tucson,Arizona,Sean Elliott,F,6-8,"February 2, 1968",University of Arizona
pops mensah-bonsu,20297.0,Pops Mensah-Bonsu,PF,26.0,TOT,20.0,0.0,120.0,11.4,0.448,0.0,0.727,16.1,18.3,3.6,1.7,5.7,18.7,20.3,-0.1,0.1,-5.0,0.2,-0.1,0.0,0.24879631551634632,0.542,16.0,3.0,4.0,9.0,10.0,Pops Mensah-Bonsu,206.0,108.0,George Washington University,London,United Kingdom,Pops Mensah-Bonsu,F,6-9,"September 7, 1983",George Washington University
geoff crompton,5455.0,Geoff Crompton,C,23.0,DEN,20.0,23.593374650359237,88.0,2.6,0.416,0.15860433144009717,0.462,7.2,20.0,7.3,0.0,1.8,27.7,19.0,-0.2,0.1,-8.4,-1.4,-0.2,22.215036720029588,0.24879631551634632,0.5,6.0,5.0,0.0,3.0,12.0,Geoff Crompton,211.0,127.0,University of North Carolina,Burlington,North Carolina,Geoff Crompton,C,6-11,"July 4, 1955",University of North Carolina
pops mensah-bonsu,20298.0,Pops Mensah-Bonsu,PF,26.0,HOU,4.0,0.0,13.0,15.2,0.377,0.0,1.5,8.5,27.5,11.0,3.9,5.6,0.0,22.6,0.0,0.0,-4.9,3.8,0.0,0.0,0.24879631551634632,0.5,1.0,1.0,1.0,1.0,0.0,Pops Mensah-Bonsu,206.0,108.0,George Washington University,London,United Kingdom,Pops Mensah-Bonsu,F,6-9,"September 7, 1983",George Washington University
pops mensah-bonsu,19693.0,Pops Mensah-Bonsu,PF,25.0,TOR,19.0,0.0,263.0,12.9,0.421,0.021,0.427,22.5,23.4,3.6,1.6,1.2,13.0,23.0,-0.1,0.3,-4.0,-2.4,-0.3,0.0,0.0,0.683,50.0,6.0,8.0,4.0,17.0,Pops Mensah-Bonsu,206.0,108.0,George Washington University,London,United Kingdom,Pops Mensah-Bonsu,F,6-9,"September 7, 1983",George Washington University
odie spears,1117.0,Odie Spears,SF,30.0,FTW,72.0,23.593374650359237,1378.0,11.3,0.441,0.15860433144009717,0.429,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,0.7,1.3,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.791,62.18920998220897,121.0,39.89705245948935,24.470260133673126,73.93983201832528,Odie Spears,196.0,92.0,Western Kentucky University,Unknown,Unknown,Odie Spears,G,6-5,"June 17, 1924",Western Kentucky University
charles o'bannon,13741.0,Charles O'Bannon,SG,22.0,DET,30.0,0.0,234.0,10.5,0.423,0.043,0.217,7.1,9.7,12.0,2.1,0.3,10.6,16.8,0.0,0.2,-3.0,-0.6,-0.1,0.0,0.0,0.8,14.0,17.0,9.0,1.0,9.0,Charles O'Bannon,196.0,94.0,"University of California, Los Angeles",Bellflower,California,Charles O'Bannon,G-F,6-5,"February 22, 1975","University of California, Los Angeles"
haywoode workman,12289.0,Haywoode Workman,PG,29.0,IND,69.0,14.0,1028.0,12.1,0.484,0.364,0.275,2.5,10.4,28.8,3.1,0.4,19.5,16.7,0.4,1.5,-0.8,0.4,0.4,35.0,0.357,0.743,21.0,194.0,59.0,5.0,73.0,Haywoode Workman,188.0,81.0,Oral Roberts University,Charlotte,North Carolina,Haywoode Workman,G,6-2,"January 23, 1966",Oral Roberts University
haywoode workman,13407.0,Haywoode Workman,PG,31.0,IND,4.0,2.0,81.0,11.0,0.538,0.15,0.05,6.0,4.3,23.4,2.0,0.0,19.7,14.5,0.1,0.1,-0.4,-1.0,0.0,0.0,0.0,0.0,4.0,11.0,3.0,0.0,5.0,Haywoode Workman,188.0,81.0,Oral Roberts University,Charlotte,North Carolina,Haywoode Workman,G,6-2,"January 23, 1966",Oral Roberts University
charles o'bannon,14290.0,Charles O'Bannon,SG,23.0,DET,18.0,1.0,165.0,13.3,0.47,0.018,0.143,13.3,11.9,13.4,0.7,1.5,11.8,19.4,0.2,0.1,-0.5,-1.1,0.0,0.0,0.0,1.0,18.0,12.0,2.0,3.0,8.0,Charles O'Bannon,196.0,94.0,"University of California, Los Angeles",Bellflower,California,Charles O'Bannon,G-F,6-5,"February 22, 1975","University of California, Los Angeles"
phil pressey,23954.0,Phil Pressey,PG,24.0,PHI,14.0,0.0,170.0,11.8,0.437,0.236,0.327,0.0,15.2,43.2,3.2,0.4,23.2,21.1,-0.2,0.2,-4.2,-1.5,-0.2,4.0,0.308,0.5,0.0,46.0,11.0,1.0,19.0,Phil Pressey,180.0,79.0,University of Missouri,Dallas,Texas,Phil Pressey,G,5-11,"February 17, 1991",University of Missouri
al harrington,14659.0,Al Harrington,PF,19.0,IND,50.0,0.0,854.0,10.8,0.524,0.129,0.42,6.4,14.2,7.1,1.5,0.7,17.2,20.1,0.1,0.9,-2.3,-0.3,-0.1,8.0,0.235,0.703,47.0,38.0,25.0,9.0,65.0,Al Harrington,206.0,104.0,Unknown,Orange,New Jersey,Al Harrington,F,6-9,"February 17, 1980",Unknown
al harrington,15160.0,Al Harrington,PF,20.0,IND,78.0,38.0,1892.0,10.2,0.479,0.013,0.289,7.4,15.2,11.8,1.8,0.7,19.5,18.8,-1.0,2.2,-3.2,0.7,-0.2,1.0,0.143,0.656,119.0,130.0,63.0,18.0,148.0,Al Harrington,206.0,104.0,Unknown,Orange,New Jersey,Al Harrington,F,6-9,"February 17, 1980",Unknown
