name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college,PC1
lou hudson,2557.0,Lou Hudson,SG,23.0,STL,46.0,23.593374650359237,966.0,16.1,0.502,0.15860433144009717,0.328,6.181565025009618,13.708657175836867,10.4,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.3,0.9,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.732,62.18920998220897,65.0,39.89705245948935,24.470260133673126,73.93983201832528,Lou Hudson,196.0,95.0,University of Minnesota,Greensboro,North Carolina,Lou Hudson,F-G,6-5,"July 11, 1944",University of Minnesota,-2545.9736500905074
lou hudson,4213.0,Lou Hudson,SG,30.0,ATL,11.0,23.593374650359237,380.0,17.4,0.484,0.15860433144009717,0.253,3.4,9.0,17.3,1.5,0.3,15.085098559901962,18.906491853360468,0.6,0.2,1.9,-2.3,0.1,22.215036720029588,0.24879631551634632,0.842,14.0,40.0,13.0,2.0,73.93983201832528,Lou Hudson,196.0,95.0,University of Minnesota,Greensboro,North Carolina,Lou Hudson,F-G,6-5,"July 11, 1944",University of Minnesota,-4208.452378140089
haywoode workman,14961.0,Haywoode Workman,PG,34.0,MIL,23.0,1.0,248.0,10.9,0.487,0.468,0.21,0.5,7.5,25.1,2.3,0.0,17.1,14.7,0.2,0.1,-1.0,-3.2,-0.1,11.0,0.379,0.692,1.0,44.0,11.0,0.0,14.0,Haywoode Workman,188.0,81.0,Oral Roberts University,Charlotte,North Carolina,Haywoode Workman,G,6-2,"January 23, 1966",Oral Roberts University,-14957.287490982088
pops mensah-bonsu,18539.0,Pops Mensah-Bonsu,PF,23.0,DAL,12.0,0.0,71.0,11.6,0.582,0.0,1.059,15.6,19.9,0.0,0.8,0.0,26.5,22.3,-0.1,0.1,-6.0,-5.7,-0.2,0.0,0.24879631551634632,0.389,9.0,0.0,1.0,0.0,9.0,Pops Mensah-Bonsu,206.0,108.0,George Washington University,London,United Kingdom,Pops Mensah-Bonsu,F,6-9,"September 7, 1983",George Washington University,-18537.08632446132
haywoode workman,11836.0,Haywoode Workman,PG,28.0,IND,65.0,52.0,1714.0,12.9,0.49,0.122,0.252,2.2,11.2,34.3,2.6,0.2,22.8,16.9,0.7,2.2,-1.0,0.1,0.5,18.0,0.321,0.802,32.0,404.0,85.0,4.0,151.0,Haywoode Workman,188.0,81.0,Oral Roberts University,Charlotte,North Carolina,Haywoode Workman,G,6-2,"January 23, 1966",Oral Roberts University,-11815.52793352379
haywoode workman,10440.0,Haywoode Workman,PG,25.0,WSB,73.0,56.0,2034.0,11.5,0.507,0.097,0.258,2.7,10.3,23.5,2.1,0.2,19.1,14.5,0.6,1.9,-1.9,0.1,0.1,12.0,0.24,0.759,51.0,353.0,87.0,7.0,135.0,Haywoode Workman,188.0,81.0,Oral Roberts University,Charlotte,North Carolina,Haywoode Workman,G,6-2,"January 23, 1966",Oral Roberts University,-10416.156881291354
sean elliott,12990.0,Sean Elliott,SF,28.0,SAS,39.0,39.0,1393.0,14.0,0.529,0.272,0.422,4.0,12.7,15.5,0.9,1.4,13.9,21.3,1.4,0.1,0.3,-1.5,0.3,42.0,0.333,0.755,48.0,124.0,24.0,24.0,89.0,Sean Elliott,203.0,92.0,University of Arizona,Tucson,Arizona,Sean Elliott,F,6-8,"February 2, 1968",University of Arizona,-12973.53799111066
sean elliott,11965.0,Sean Elliott,SF,26.0,SAS,81.0,81.0,2858.0,16.0,0.587,0.311,0.377,2.6,8.5,11.3,1.4,0.9,10.8,21.6,5.8,2.9,2.4,-0.3,2.9,136.0,0.408,0.807,63.0,206.0,78.0,38.0,151.0,Sean Elliott,203.0,92.0,University of Arizona,Tucson,Arizona,Sean Elliott,F,6-8,"February 2, 1968",University of Arizona,-11932.264132592652
amal mccaskill,16284.0,Amal McCaskill,C,29.0,ATL,11.0,0.0,70.0,7.3,0.293,0.0,0.235,11.9,23.5,10.8,2.3,1.0,9.6,13.6,-0.1,0.1,-5.1,0.6,0.0,0.0,0.24879631551634632,0.75,7.0,5.0,3.0,1.0,2.0,Amal McCaskill,211.0,106.0,Marquette University,Maywood,Illinois,Amal McCaskill,F-C,6-11,"October 28, 1973",Marquette University,-16282.246361078582
geoff crompton,6517.0,Geoff Crompton,C,26.0,MIL,35.0,1.0,203.0,3.6,0.363,0.0,0.469,5.9,16.9,7.6,1.4,3.4,30.6,11.3,-0.4,0.4,-7.4,2.8,-0.1,0.0,0.24879631551634632,0.4,10.0,13.0,6.0,12.0,17.0,Geoff Crompton,211.0,127.0,University of North Carolina,Burlington,North Carolina,Geoff Crompton,C,6-11,"July 4, 1955",University of North Carolina,-6514.365063654617
